Navn;Deklareret faktor;Deklareret enhed;Massefaktor;A1tilA3;C3;C4;D;Type;Kilde
Vinduesramme, pulverlakeret aluminium;1;M;0,98;12.54;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vinduesramme, træ;1;M;2,11;0.15;4.04;;-1.61;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vippeafbryder (lyskontakt);1;Pcs;79,00;0.44;0.00;;0.05;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, blanke kobberrør;1;KG;1,00;1.97;;0.00;-0.73;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, PE-belagt kobberrør;1;KG;1,00;2.07;;0.96;-1.10;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, PE-skumbelagt kobberrør;1;KG;1,00;2.29;;0.38;-0.87;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, PU-skumbelagt kobberrør;1;KG;1,00;2.85;;0.61;-0.95;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
VVS-rør, PVC-belagt kobberrør;1;KG;1,00;1.83;;0.99;-1.12;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Vådrumsarmatur til lysstofrør, T8-36W;1;Pcs;3,15;16.65;9.12;;-3.52;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
WPC facadepanel;1;M2;7,79;0.56;8.78;;-2.75;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
WPC terrassebelægning;1;M2;18,36;0.25;21.08;;-4.87;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
XPS isolering;1;M3;32,00;96.34;118.21;;-49.51;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Zink, patineret;1;KG;1,00;2.09;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
