Navn;Deklareret faktor;Deklareret enhed;Massefaktor;A1tilA3;C3;C4;D;Type;Kilde
Fastgørelsesmidler/skruer i galvaniseret stål;1;KG;1,00;3.56;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fastgørelsesmidler/skruer i rustfrit stål;1;KG;1,00;4.10;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fibercementplade;1;M2;13,00;6.99;;0.20;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fiberdug, PE / PP;1;M2;0,50;1.26;1.88;;-0.85;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fjernvarmeanlæg;1;KG;1,00;4.77;0.21;0.01;-1.23;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fladtagsvindue, plast (komplet vindue);1;M2;72,10;226.00;15.10;0.21;-148.00;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Folie til grønt tag;1;M2;1,13;3.55;4.95;;-1.01;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Folie, PE-HD med PP-fiberdug;1;M2;1,30;3.21;4.84;;-2.19;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Forbrænding af tekstilaffald, fjernvarme;1;KG;1,00;;1.74;;-0.83;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Forbrænding polystyren (PS), fjernvarme;1;KG;1,00;;3.38;;-1.55;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugebånd PE / PP-folie;1;KG;1,00;2.40;3.77;;-1.71;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugebånd, butyl;1;KG;1,00;5.68;3.03;;-1.41;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugebånd, elastomer, polyurethan;1;KG;1,00;5.26;2.66;;-0.94;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugebånd, polyisobutylen;1;KG;1,00;4.19;3.03;;-1.41;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugebånd, tekstil;1;KG;1,00;6.65;2.37;;-0.67;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugemasse, Acryl;1;KG;1,00;3.04;2.19;;-1.02;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugemasse, Silikone;1;KG;1,00;7.27;1.52;;-0.70;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugemørtel;1;KG;1,00;0.47;;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Fugtisolering, grundmursplade, PE;1;M2;1,20;4.09;4.15;;-2.05;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gas varmepumpe (luft) 20-70 kW;1;Pcs;156,82;362.36;10.37;;-207.24;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gas varmepumpe (luft) 20-70 kW, EOL;1;Pcs;156,82;;;6.32;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gaskedel, kondenserende, < 20 kW;1;Pcs;118,00;446.21;9.16;;-63.14;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gaskedel, kondenserende, < 20 kW, EOL;1;Pcs;118,00;;;0.64;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gaskedel, kondenserende, 120-400 kW;1;Pcs;937,00;2842.15;71.58;;-507.68;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gaskedel, kondenserende, 120-400 kW, EOL;1;Pcs;937,00;;;1.80;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gaskedel, kondenserende, 20-120 kW;1;Pcs;292,00;1104.19;22.65;;-157.72;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gaskedel, kondenserende, 20-120 kW, EOL;1;Pcs;292,00;;;1.58;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gips, beta-halvhydrat;1;KG;1,00;0.10;;0.02;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gips, tørstof (gipsfiberplade) (tykkelse 0,025 m);1;M2;24,07;;;0.36;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gips, tørstof (gipsfiberplade) (tykkelse 0,025m);1;M2;24,07;7.55;0.00;;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gips, tørstof (gipskartonplade) (tykkelse0,025 m);1;M2;20,07;3.12;;0.30;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gips, vægplade (tykkelse 0,1 m);1;M2;84,00;22.35;;1.26;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
Gipsfiberplade 10 mm;1;M2;10,00;3.19;0.00;0.15;;Generic Dataset;Bilag 2, tabel 7: Generisk datagrundlag 2023
