Sorterings ID;Data type;Navn DK;A1tilA3;C3;C4;D;Deklareret faktor (FU);Deklareret enhed (FU);Masse faktor (densitet)
#G2008;Generisk data;Kobberrør (coatede);-;0.00136414;-;-1.40501;1;KG;1
#S0001;Standardværdi;Enfamiliehuse, afløb;0.00862601;0.01137399;;-5.62E-03;;;
#S0002;Standardværdi;Enfamiliehuse, vand;0.048312295;0.011687705;0;-0.029396156;;;
#S0003;Standardværdi;Enfamiliehuse, varme, ventilation og køl;0.493994744;0.105666693;0.000338563;-0.197521035;;;
#S0004;Standardværdi;Rækkehuse, afløb;0.0414;0.0486;;-0.020547826;;;
#S0005;Standardværdi;Rækkehuse, vand;0.0244;0.0156;;-0.012336875;;;
#S0006;Standardværdi;Rækkehuse, varme, ventilation og køl;0.4484375;0.0640625;0.000271359;-0.203471116;;;
#S0007;Standardværdi;Etageboliger, afløb;54;66;0;-0.0324;;;
#S0008;Standardværdi;Etageboliger, vand;0.0522;0.0078;0;-0.0282;;;
#S0009;Standardværdi;Etageboliger,varme, ventilation og køl;0.4335;0.0765;0;-0.1683;;;
#S0010;Standardværdi;Kontor, skoler og daginstitutioner, afløb;18;22;;-0.0108;;;
#S0011;Standardværdi;Kontor, skoler og daginstitutioner, vand;48;12;;-0.0192;;;
#S0012;Standardværdi;Kontor, skoler og daginstitutioner, varme, ventilation og køl;0.7224;0.1176;;-0.3528;;;
#S0013;Standardværdi;Øvrige bygninger, afløb;0.0225;0.0275;;-0.0135;;;
#S0014;Standardværdi;Øvrige bygninger, vand;64;16;;-0.0256;;;
#S0015;Standardværdi;Øvrige bygninger, varme, ventilation og køl;0.9374;0.1526;;-0.4578;;;
#P0001;Produktspecifik;Armeringsnet, Celca Steel Service;445;0;0;124;1;KG;
